Product URL,Product Name,Product Price,Rating,Number of Reviews,ASIN,Product Description,Manufacturer
https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,285,4.0,"1,108",B07HLYW3FF,,Visit the Blue Tree Store
https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_5_1389022031_1,,805,4.4,306,B0BRJLWQ6R,,
https://www.amazon.in/Amazon-Brand-Solimo-Badminton-Rapid/dp/B08J8HJN8P?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,699,4.2,149,B08J8HJN8P,,
https://www.amazon.in/AmazonBasics-T1913-5-20-Inch-Carry-on-Orange/dp/B07P6PF6SP?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,"3,529",4.5,102,B07P6PF6SP,,
,,,,,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,375",B085MHDJ93,,Visit the Half Moon Store
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,085",4.4,"5,777",B075MK4TXP,,
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_5_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3,416,B0BTD4S4XF,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0,"4,640",B09VTDMRY7,,
https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_7_1984997031_1,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,379",B07YDGQQN5,,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,074",B0BJ32LQ6X,,
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,4.0,"19,757",B07Q7CNPMV,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9,959,B09TPX22NF,,
https://www.amazon.in/Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"2,844",4.3,"1,663",B07XYTZP4Z,,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.3,422,B0BTD4FK9G,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,3.8,223,B0BPVLXD53,,
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_14_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3,"7,480",B07XXFB9CZ,,
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",570,4.4,"3,462",B08R7RPVJF,,
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=LdvAA&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=VX6ZHBF0YE7AYZWNF486&pd_rd_wg=aPZqd&pd_rd_r=c84ebf26-7298-4dc6-894f-b18e229fb80c&qid=1688668923,,,,bags for girls,,,
,,,,,,,
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,,,,or,,,
https://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=1bUEA&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=KB32VXVBW0Y81F83V8QV&pd_rd_wg=wfbHs&pd_rd_r=75e98137-5724-4d06-8e4b-41e98df3d22b&qid=1688668925,,,,,,,
,,,,,,,
https://www.amazon.in/gp/bestsellers/luggage/2917436031/ref=sr_bs_0_2917436031_1,Skybags Brat Black 46 Cms Casual Backpack,599,4.1,"5,000",B08Z1HHHTD,,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0,"55,188",B07CJCGM1M,,Brand: American Tourister
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),550,4.3,"11,550",B084JGJ8PF,,
https://www.amazon.in/s/ref=sxin_14_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=4cns4&content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb:amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=KB32VXVBW0Y81F83V8QV&pd_rd_wg=kZjYA&pd_rd_r=ee72d185-7736-451a-8abf-aa50853873c9&qid=1688668925,,709,4.2,Amazon’s private and select curated brands,,,
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,709,4.2,603,B09W3XLDM2,,
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,,310,4.2,63,B09SB5DP5Y,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK?rdc=1&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,,329,4.3,"29,539",B0821PYKVK,,
https://www.amazon.in/Amazon-Brand-Solimo-Cricket-Kit/dp/B08J8HQ3MD?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,849,4.3,60,B08J8HQ3MD,,Brand: Amazon Brand - Solimo
https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,285,4.0,"1,108",B07HLYW3FF,,Visit the Blue Tree Store
https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_5_1389022031_1,,805,4.4,306,B0BRJLWQ6R,,
https://www.amazon.in/Amazon-Brand-Solimo-Badminton-Rapid/dp/B08J8HJN8P?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,699,4.2,149,B08J8HJN8P,,
https://www.amazon.in/AmazonBasics-T1913-5-20-Inch-Carry-on-Orange/dp/B07P6PF6SP?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,"3,529",4.5,102,B07P6PF6SP,,
,,,,,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,375",B085MHDJ93,,
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,085",4.4,"5,777",B075MK4TXP,,
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_5_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3,416,B0BTD4S4XF,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0,"4,640",B09VTDMRY7,,
https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_7_1984997031_1,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,379",B07YDGQQN5,,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,074",B0BJ32LQ6X,,
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,4.0,"19,757",B07Q7CNPMV,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9,959,B09TPX22NF,,
https://www.amazon.in/Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"2,844",4.3,"1,663",B07XYTZP4Z,,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.3,422,B0BTD4FK9G,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,3.8,223,B0BPVLXD53,,
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_14_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3,"7,480",B07XXFB9CZ,,
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",570,4.4,"3,462",B08R7RPVJF,,
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=DnfwD&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=KB32VXVBW0Y81F83V8QV&pd_rd_wg=WKsG6&pd_rd_r=d0b85fa1-d731-4184-a179-196c0f8410a1&qid=1688668925,,,,bags for girls,,,
,,,,,,,
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,,,,or,,,
https://www.amazon.in/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=6so15&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=6SN5J1RQ9CJJKCTGM5D4&pd_rd_wg=cSLAP&pd_rd_r=09809043-b2d1-4b86-a592-093401057362&qid=1688668926,,,,,,,
,,,,,,,
https://www.amazon.in/gp/bestsellers/luggage/2917436031/ref=sr_bs_0_2917436031_1,Skybags Brat Black 46 Cms Casual Backpack,599,4.1,"5,000",B08Z1HHHTD,,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0,"55,188",B07CJCGM1M,,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),550,4.3,"11,550",B084JGJ8PF,,
https://www.amazon.in/s/ref=sxin_14_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=Dm9EX&content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb:amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=6SN5J1RQ9CJJKCTGM5D4&pd_rd_wg=UcwDh&pd_rd_r=ec035fcb-11c4-4677-bbe4-aa597dc3a1a3&qid=1688668926,,709,4.2,Amazon’s private and select curated brands,,,
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,709,4.2,603,B09W3XLDM2,,
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,,310,4.2,63,B09SB5DP5Y,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK?rdc=1&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,,329,4.3,"29,539",B0821PYKVK,,
https://www.amazon.in/Amazon-Brand-Solimo-Cricket-Kit/dp/B08J8HQ3MD?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,849,4.3,60,B08J8HQ3MD,,
https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,285,4.0,"1,108",B07HLYW3FF,,
https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_5_1389022031_1,,805,4.4,306,B0BRJLWQ6R,,
https://www.amazon.in/Amazon-Brand-Solimo-Badminton-Rapid/dp/B08J8HJN8P?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,699,4.2,149,B08J8HJN8P,,
https://www.amazon.in/AmazonBasics-T1913-5-20-Inch-Carry-on-Orange/dp/B07P6PF6SP?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,"3,529",4.5,102,B07P6PF6SP,,
,,,,,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,375",B085MHDJ93,,
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,085",4.4,"5,777",B075MK4TXP,,
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_5_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3,416,B0BTD4S4XF,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0,"4,640",B09VTDMRY7,,
https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_7_1984997031_1,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,379",B07YDGQQN5,,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,074",B0BJ32LQ6X,,
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,4.0,"19,757",B07Q7CNPMV,,
